Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023


	=SUBTOTAL(109,B6:B5859)																					
11	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	15.5	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	23	0	0.000	10	8	5	0	0	0	0.000	0.000	0.000
12	1	CONT_065|gi|399678|bbs|134862	 	 	 	contaminant	63.2	19	2190	keratin 5 {exon 7} [human, Peptide Partial Mutant, 19 aa].	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
13	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE	contaminant	50.2	623	62129	keratin 9, cytoskeletal [Homo sapiens].	119	116	0.975	51	20	48	50	19	47	50.479	19.479	47.479
15	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	 	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	69.9	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	135	72	0.533	49	40	46	29	19	24	44.670	33.280	41.721
18	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	33.3	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	24	8	0.333	5	17	2	0	8	0	1.540	14.773	0.550
19	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	26.4	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	77	4	0.052	26	28	23	1	1	2	6.223	6.968	8.080
23	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	26.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	26	7	0.269	8	13	5	1	5	1	1.850	7.306	1.740
25	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	8.8	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	15	0	0.000	5	3	7	0	0	0	0.000	0.000	0.000
27	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9Z320|K1C27_MOUSE	contaminant	47.6	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	151	80	0.530	54	53	44	31	27	22	47.279	45.876	37.755
28	1	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN (+2)	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN&CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN&CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	33.5	564	60044	KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens].	84	0	0.000	28	29	27	0	0	0	0.000	1.000	0.000
29	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	31.9	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	87	0	0.000	28	31	28	0	0	0	0.000	1.000	0.000
31	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9Z320|K1C27_MOUSE	contaminant	37.2	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	47	16	0.340	15	15	17	4	4	8	6.926	6.483	9.832
32	1	CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	 	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE	contaminant	3.2	494	53511	KERATIN, TYPE I CYTOSKELETAL 12 (CYTOKERATIN 12) [Homo sapiens].	4	1	0.250	1	1	2	0	0	1	0.004	0.004	1.004
33	1	REV_A0A2I3BRL8 (+1)	REV_A0A2I3BRL8&REV_Q91VM5	 	REV_A0A2I3BRL8, sp|Q91VM5|RMXL1_MOUSE	reversed	10.3	388	42178	REVERSED.	5	1	0.200	4	0	1	1	0	0	1.300	0.000	0.000
34	1	REV_A2AG06	 	 	 	reversed	3.8	965	108828	REVERSED.	4	4	1.000	2	1	1	2	1	1	2.000	1.000	1.000
35	1	REV_A2ASS6	 	 	REV_A2ASS6, sp|Q5SXY1|CYTSB_MOUSE, sp|Q9D6J3|YJU2_MOUSE	reversed	0.2	35213	3906440	REVERSED.	16	12	0.750	7	4	5	5	3	4	5.370	3.176	4.222
36	1	REV_B1AR69	 	 	 	reversed	1.3	1938	223559	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
37	1	REV_E0CZ42	 	 	 	reversed	1.2	1862	209828	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
38	1	REV_E9PUZ9	 	 	REV_E9PUZ9, sp|P15508|SPTB1_MOUSE	reversed	2.1	1014	114065	REVERSED.	2	1	0.500	0	2	0	0	1	0	0.000	1.007	0.000
39	1	REV_E9PVZ8	 	 	 	reversed	1.3	3238	370150	REVERSED.	3	3	1.000	0	3	0	0	3	0	0.000	3.000	0.000
40	1	REV_E9PWR4	 	 	 	reversed	2.4	1557	171067	REVERSED.	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
41	1	REV_E9Q7X7	 	 	 	reversed	1.1	1710	184883	REVERSED.	7	7	1.000	1	3	3	1	3	3	1.000	3.000	3.000
42	1	REV_E9QA15	 	 	 	reversed	4.8	768	89272	REVERSED.	3	3	1.000	1	2	0	1	2	0	1.000	2.000	0.000
43	1	REV_F6XLV1	 	 	REV_F6XLV1, sp|P35486|ODPA_MOUSE, sp|Q505D7|OPA3_MOUSE, sp|Q8CH25|SLTM_MOUSE	reversed	0.9	1638	186629	REVERSED.	3	0	0.000	1	2	0	0	0	0	0.000	0.000	0.000
44	1	REV_O08638	 	 	 	reversed	1.5	1972	227025	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
45	1	REV_P26043	 	 	 	reversed	6.2	583	68542	REVERSED.	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000
46	1	REV_P42859	 	 	 	reversed	0.9	3119	344686	REVERSED.	4	4	1.000	0	2	2	0	2	2	0.000	2.000	2.000
47	1	REV_P52480	 	 	 	reversed	7.5	531	57844	REVERSED.	3	3	1.000	3	0	0	3	0	0	3.000	0.000	0.000
48	1	REV_P54103	 	 	 	reversed	3.4	621	71721	REVERSED.	12	12	1.000	2	3	7	2	3	7	2.000	3.000	7.000
49	1	REV_P70168	 	 	 	reversed	2.6	876	97183	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
50	1	REV_P97443	 	 	 	reversed	2.2	490	56495	REVERSED.	13	13	1.000	0	10	3	0	10	3	0.000	10.000	3.000
51	1	REV_Q05860	 	 	REV_Q05860, sp|Q3ULJ0|GPD1L_MOUSE	reversed	1.5	1466	163579	REVERSED.	6	1	0.167	4	0	2	1	0	0	1.120	0.000	0.000
52	1	REV_Q0VG85	 	 	 	reversed	2.1	912	104335	REVERSED.	14	14	1.000	3	10	1	3	10	1	3.000	10.000	1.000
53	1	REV_Q2EMV9	 	 	REV_Q2EMV9, sp|P13707|GPDA_MOUSE, sp|Q3ULJ0|GPD1L_MOUSE	reversed	1.5	1817	203799	REVERSED.	6	1	0.167	2	2	2	1	0	0	1.020	0.000	0.000
54	1	REV_Q3THS6	 	 	 	reversed	5.1	395	43688	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
55	1	REV_Q5QNQ6	 	 	 	reversed	2.2	908	101352	REVERSED.	9	9	1.000	3	4	2	3	4	2	3.000	4.000	2.000
56	1	REV_Q62187	 	 	 	reversed	1.7	859	97721	REVERSED.	5	5	1.000	1	2	2	1	2	2	1.000	2.000	2.000
57	1	REV_Q62351	 	 	 	reversed	3.5	763	85730	REVERSED.	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
58	1	REV_Q640L5	 	 	 	reversed	1.2	1455	169739	REVERSED.	10	10	1.000	2	4	4	2	4	4	2.000	4.000	4.000
59	1	REV_Q6AW69	 	 	 	reversed	3.2	1297	148167	REVERSED.	4	4	1.000	0	0	4	0	0	4	0.000	0.000	4.000
60	1	REV_Q6GQW0	 	 	REV_Q6GQW0, sp|Q6IRU5|CLCB_MOUSE	reversed	1.5	1109	121560	REVERSED.	3	1	0.333	1	2	0	0	1	0	0.000	1.048	0.000
61	1	REV_Q6PDI5	 	 	 	reversed	0.9	1840	203701	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
62	1	REV_Q70FJ1	 	 	REV_Q70FJ1, sp|A2AWA9|RBGP1_MOUSE, tr|Q68FG2|Q68FG2_MOUSE	reversed	0.4	3797	435986	REVERSED.	6	0	0.000	2	1	3	0	0	0	0.000	0.000	0.000
63	1	REV_Q7TPH6	 	 	 	reversed	0.5	4749	521226	REVERSED.	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
64	1	REV_Q80UF4	 	 	REV_Q80UF4, sp|Q6NV83|SR140_MOUSE, sp|Q9D0B0|SRSF9_MOUSE	reversed	2.4	717	82978	REVERSED.	7	2	0.286	3	1	3	1	0	1	1.087	0.000	1.154
65	1	REV_Q8BQ30	 	 	 	reversed	3.4	594	65629	REVERSED.	3	3	1.000	0	1	2	0	1	2	0.000	1.000	2.000
66	1	REV_Q8BQM8	 	 	REV_Q8BQM8, sp|Q9JI91|ACTN2_MOUSE	reversed	1.4	1977	220104	REVERSED.	7	3	0.429	2	3	2	2	1	0	2.000	1.154	0.000
67	1	REV_Q8BTI8	 	 	 	reversed	0.7	2703	294837	REVERSED.	48	48	1.000	24	14	10	24	14	10	24.000	14.000	10.000
68	1	REV_Q8BUR4	 	 	 	reversed	1.7	1865	215083	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
69	1	REV_Q8BZ05	 	 	REV_Q8BZ05, sp|E9Q6B2|CC85C_MOUSE	reversed	1.5	1703	193396	REVERSED.	4	1	0.250	1	2	1	0	1	0	0.000	1.143	0.000
70	1	REV_Q8CHB8	 	 	 	reversed	2.3	1328	147713	REVERSED.	2	2	1.000	0	0	2	0	0	2	0.000	0.000	2.000
71	1	REV_Q8R3P0	 	 	 	reversed	6.7	312	35344	REVERSED.	2	2	1.000	0	2	0	0	2	0	0.000	2.000	0.000
72	1	REV_Q8VD65	 	 	REV_Q8VD65, sp|P42225|STAT1_MOUSE	reversed	1.3	1358	152597	REVERSED.	6	3	0.500	1	4	1	1	2	0	1.000	2.200	0.000
73	1	REV_Q91VW5	 	 	REV_Q91VW5, sp|O08638|MYH11_MOUSE, sp|Q02566|MYH6_MOUSE, sp|Q61879|MYH10_MOUSE	reversed	2.5	2238	257561	REVERSED.	12	7	0.583	4	5	3	2	3	2	2.033	3.056	2.022
74	1	REV_Q91Z67	 	 	REV_Q91Z67, sp|P07758|A1AT1_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|Q61335|BAP31_MOUSE	reversed	2.1	1071	120797	REVERSED.	11	1	0.091	2	5	4	0	0	1	0.000	0.000	1.367
75	1	REV_Q922U1	 	 	REV_Q922U1, sp|P17809|GTR1_MOUSE	reversed	2.6	683	77454	REVERSED.	2	1	0.500	2	0	0	1	0	0	1.037	0.000	0.000
76	1	REV_Q99P91	 	 	 	reversed	4.0	574	63675	REVERSED.	26	26	1.000	7	14	5	7	14	5	7.000	14.000	5.000
77	1	REV_Q99PF4	 	 	 	reversed	1.1	3354	369618	REVERSED.	3	3	1.000	2	0	1	2	0	1	2.000	0.000	1.000
78	1	REV_Q9CS72	 	 	REV_Q9CS72, sp|Q05D44|IF2P_MOUSE	reversed	1.6	1214	137911	REVERSED.	3	1	0.333	1	0	2	0	0	1	0.000	0.000	1.015
79	1	REV_Q9CZS1	 	 	REV_Q9CZS1, sp|Q8VDI7|UBAC1_MOUSE	reversed	5.0	519	57552	REVERSED.	3	1	0.333	1	2	0	0	1	0	0.000	1.200	0.000
80	1	REV_Q9D3E6	 	 	 	reversed	1.7	1258	144439	REVERSED.	23	23	1.000	10	8	5	10	8	5	10.000	8.000	5.000
81	1	REV_Q9D9U9	 	 	REV_Q9D9U9, sp|Q08024|PEBB_MOUSE	reversed	3.3	551	65825	REVERSED.	5	4	0.800	0	1	4	0	1	3	0.000	1.000	3.600
82	1	REV_Q9DA73	 	 	REV_Q9DA73, tr|Q68FG2|Q68FG2_MOUSE	reversed	6.8	370	43240	REVERSED.	5	1	0.200	1	3	1	0	1	0	0.000	1.015	0.000
83	1	REV_Q9JKJ9	 	 	 	reversed	3.2	470	53574	REVERSED.	6	6	1.000	0	2	4	0	2	4	0.000	2.000	4.000
