New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Tue Aug 29 11:02:42 2023
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_Set1	Total_Set2	Total_Set3	Unique_Set1	Unique_Set2	Unique_Set3	Corrected_Set1	Corrected_Set2	Corrected_Set3	PSMs_Used_Set1	TotInt_126C_Set1	TotInt_127N_Set1	TotInt_127C_Set1	TotInt_128N_Set1	TotInt_128C_Set1	TotInt_129N_Set1	TotInt_129C_Set1	TotInt_130N_Set1	TotInt_130C_Set1	TotInt_131N_Set1	TotInt_131C_Set1	PSMs_Used_Set2	TotInt_126C_Set2	TotInt_127N_Set2	TotInt_127C_Set2	TotInt_128N_Set2	TotInt_128C_Set2	TotInt_129N_Set2	TotInt_129C_Set2	TotInt_130N_Set2	TotInt_130C_Set2	TotInt_131N_Set2	TotInt_131C_Set2	PSMs_Used_Set3	TotInt_126C_Set3	TotInt_127N_Set3	TotInt_127C_Set3	TotInt_128N_Set3	TotInt_128C_Set3	TotInt_129N_Set3	TotInt_129C_Set3	TotInt_130N_Set3	TotInt_130C_Set3	TotInt_131N_Set3	TotInt_131C_Set3
12	1	CONT_065|gi|399678|bbs|134862	 	 	 	contaminant	63.2	19	2190	keratin 5 {exon 7} [human, Peptide Partial Mutant, 19 aa].	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000	2	116160.60937399999	177237.984374	86268.589844	74981.623047	181064.855469	120731.625	170628.925781	6588.3375240000005	6938.513184	150.0	150.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE	contaminant	50.2	623	62129	keratin 9, cytoskeletal [Homo sapiens].	119	116	0.975	51	20	48	50	19	47	50.479	19.479	47.479	50	2981715.6567419996	3127394.82373	1255375.2059310004	1345631.9571569997	822769.4849869998	913525.5478500001	2533056.7963889996	43522.509765	78904.81140100001	150.0	150.0	19	1036561.2274170001	1402705.1513680003	816669.6538099999	910239.298583	688816.827393	1177457.388183	1145968.806642	48283.519044	38372.537842	150.0	150.0	47	4998476.226805	686304.918337	632107.815549	404978.206362	1696201.7629410003	1676872.1729740005	2330661.5789800007	55583.354005	64342.715759	150.0	150.0
15	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	 	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	69.9	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	135	72	0.533	49	40	46	29	19	24	44.670	33.280	41.721	29	5641808.865479001	5030325.767089	2433321.52722	1586941.1688229998	1275722.7546410002	1721483.8201310001	3398767.4550789995	82414.362792	143866.638183	150.0	150.0	19	1140746.475705	716792.469239	1128578.412354	1096300.246459	1358662.166872	1330305.6108399997	1510485.420043	71984.335938	57854.713072000006	150.0	150.0	24	3104298.0156260002	810129.9567270001	601075.6430660001	497588.8974610001	1960307.9374990002	1704606.597656	2601296.0766609996	82661.37146099999	91432.943604	150.0	150.0
18	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	33.3	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	24	8	0.333	5	17	2	0	8	0	1.540	14.773	0.550	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	139057.24706999998	148036.352539	156129.870362	137869.005859	140690.873778	354761.185546	358941.443359	354580.33105499996	359643.809569	357393.49511799996	10951.951416	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	26.4	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	77	4	0.052	26	28	23	1	1	2	6.223	6.968	8.080	1	12458.775391	17632.755859	16863.160156	21383.828125	26124.033203	22587.433594	26719.568359	150.0	150.0	150.0	150.0	1	9616.213867	7449.298828	13672.179688	5371.703613000001	39202.359375	8966.794922	14272.0625	150.0	150.0	150.0	150.0	2	12169.675781	3217.211914	2655.4528809999997	1098.47876	7322.79541	7024.493164	6033.532227000001	150.0	150.0	150.0	150.0
23	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE	contaminant	26.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	26	7	0.269	8	13	5	1	5	1	1.850	7.306	1.740	1	7151.417969	7100.165039	2901.0395510000003	5526.21582	4784.249511999999	4448.612305	3008.20752	150.0	150.0	150.0	150.0	5	176188.590332	82946.065918	159020.90380899998	132525.988525	186561.452149	154066.86255	142563.38427800004	11807.78125	10973.588623	5616.200562	150.0	1	6847.526367	1846.757568	1593.578857	150.0	2166.677734	2644.967773	2088.76001	150.0	150.0	150.0	150.0
25	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	8.8	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	15	0	0.000	5	3	7	0	0	0	0.000	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN, sp|P02535|K1C10_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|P19001|K1C19_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q9Z320|K1C27_MOUSE	contaminant	47.6	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	151	80	0.530	54	53	44	31	27	22	47.279	45.876	37.755	31	2358596.375002	2193894.1972670006	980568.67871	669918.3743880001	541563.6790759999	691180.9743659999	1546572.4355459998	27872.821535	56537.07379000001	150.0	150.0	27	2899075.7297369996	1637570.5845959997	2571499.9941419996	1645955.9190680003	8583289.114992	2818863.6677240003	3325200.9086909997	108310.803468	80823.34765699999	150.0	150.0	22	3629603.9993899995	815584.1973870001	616513.025024	518661.27197299997	2188227.021487	1995457.665526	3034989.178712	99080.03186100001	102673.11474399999	150.0	150.0
28	1	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN (+2)	CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN&CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN&CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	33.5	564	60044	KERATIN, TYPE II CYTOSKELETAL 6A (CYTOKERATIN 6A) (CK 6A) (K6A KERATIN) [Homo sapiens].	84	0	0.000	28	29	27	0	0	0	0.000	1.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_044|gi|1083132|pir||A56694, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_072|gi|547754|sp|P35908|K22E_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P07744|K2C4_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q99M73|KRT84_MOUSE, sp|Q9DCV7|K2C7_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	31.9	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	87	0	0.000	28	31	28	0	0	0	0.000	1.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
